Source,Target,Type ,Weight
269,a,Undirected,2531
270,a,Undirected,3922
271,a,Undirected,2019
272,a,Undirected,3672
273,a,Undirected,3626
274,a,Undirected,3543
275,a,Undirected,3469
276,a,Undirected,2221
277,a,Undirected,3066
278,a,Undirected,3966
279,a,Undirected,3222
280,a,Undirected,5029
281,a,Undirected,0
282,a,Undirected,0
283,a,Undirected,6
284,a,Undirected,4
285,a,Undirected,9611
286,a,Undirected,2894
287,a,Undirected,0
288,a,Undirected,34521
289,a,Undirected,1348
290,a,Undirected,1849
291,a,Undirected,981
292,a,Undirected,53629
293,a,Undirected,0
294,a,Undirected,20981
295,a,Undirected,100
296,a,Undirected,255
297,a,Undirected,0
298,a,Undirected,0
299,a,Undirected,0
300,a,Undirected,995
301,a,Undirected,3938
302,a,Undirected,4578
303,a,Undirected,3822
304,a,Undirected,2280
305,a,Undirected,1780
306,a,Undirected,2824
307,a,Undirected,2337
308,a,Undirected,2225
309,a,Undirected,12592
310,a,Undirected,2804
311,a,Undirected,3494
312,a,Undirected,4380
313,a,Undirected,2187
314,a,Undirected,2911
315,a,Undirected,2858
316,a,Undirected,2764
317,a,Undirected,1710
318,a,Undirected,3234
319,a,Undirected,5001
320,a,Undirected,2307
321,a,Undirected,2
322,a,Undirected,7
323,a,Undirected,0
324,a,Undirected,62
325,a,Undirected,0
326,a,Undirected,0
327,a,Undirected,0
328,a,Undirected,162
329,a,Undirected,0
330,a,Undirected,1534
331,a,Undirected,0
332,a,Undirected,3403
333,a,Undirected,2719
334,a,Undirected,149
335,a,Undirected,380
336,a,Undirected,3012
337,a,Undirected,92
338,a,Undirected,0
339,a,Undirected,58
340,a,Undirected,107
341,a,Undirected,2303
342,a,Undirected,1533
343,a,Undirected,2846
344,a,Undirected,2156
345,a,Undirected,6930
346,a,Undirected,7555
347,a,Undirected,3120
348,a,Undirected,4153
349,a,Undirected,2750
350,a,Undirected,2699
351,a,Undirected,3074
352,a,Undirected,2221
353,a,Undirected,1809
354,a,Undirected,2501
355,a,Undirected,2533
356,a,Undirected,2199
357,a,Undirected,3084
358,a,Undirected,6057
359,a,Undirected,3628
360,a,Undirected,3615
361,a,Undirected,2478
362,a,Undirected,2129
363,a,Undirected,2401
364,a,Undirected,3592
365,a,Undirected,4524
366,a,Undirected,5697
367,a,Undirected,4436
368,a,Undirected,4925
369,a,Undirected,3391
370,a,Undirected,3313
371,a,Undirected,2663
372,a,Undirected,2328
373,a,Undirected,3533
374,a,Undirected,2698
375,a,Undirected,3886
376,a,Undirected,5930
377,a,Undirected,6573
378,a,Undirected,4484
379,a,Undirected,3448
380,a,Undirected,2083
381,a,Undirected,1924
382,a,Undirected,2423
383,a,Undirected,1948
384,a,Undirected,5043
385,a,Undirected,2509
386,a,Undirected,4009
387,a,Undirected,7838
388,a,Undirected,5909
389,a,Undirected,9344
390,a,Undirected,2632
391,a,Undirected,4097
392,a,Undirected,2497
393,a,Undirected,4256
394,a,Undirected,2218
395,a,Undirected,1822
396,a,Undirected,2470
397,a,Undirected,2304
398,a,Undirected,3064
399,a,Undirected,3295
400,a,Undirected,8909
401,a,Undirected,5262
402,a,Undirected,6232
403,a,Undirected,1587
404,a,Undirected,2674
405,a,Undirected,3587
406,a,Undirected,1544
407,a,Undirected,1899
408,a,Undirected,2503
409,a,Undirected,3031
410,a,Undirected,2633
411,a,Undirected,4404
412,a,Undirected,3023
413,a,Undirected,2648
414,a,Undirected,10133
415,a,Undirected,5224
416,a,Undirected,2716
417,a,Undirected,3211
418,a,Undirected,2241
