Source,Target,Type,Weight
269,a,Undirected,9902
270,a,Undirected,16045
271,a,Undirected,8455
272,a,Undirected,12851
273,a,Undirected,18767
274,a,Undirected,15835
275,a,Undirected,13975
276,a,Undirected,9217
277,a,Undirected,12290
278,a,Undirected,17841
279,a,Undirected,19661
280,a,Undirected,20602
281,a,Undirected,0
282,a,Undirected,0
283,a,Undirected,4
284,a,Undirected,7
285,a,Undirected,49228
286,a,Undirected,11569
287,a,Undirected,0
288,a,Undirected,5843
289,a,Undirected,17346
290,a,Undirected,4718
291,a,Undirected,2082
292,a,Undirected,6176
293,a,Undirected,0
294,a,Undirected,10875
295,a,Undirected,158
296,a,Undirected,382
297,a,Undirected,0
298,a,Undirected,0
299,a,Undirected,0
300,a,Undirected,6169
301,a,Undirected,21010
302,a,Undirected,24248
303,a,Undirected,16582
304,a,Undirected,11016
305,a,Undirected,7566
306,a,Undirected,11625
307,a,Undirected,9923
308,a,Undirected,10207
309,a,Undirected,44155
310,a,Undirected,12992
311,a,Undirected,16477
312,a,Undirected,17755
313,a,Undirected,10239
314,a,Undirected,13728
315,a,Undirected,13261
316,a,Undirected,11064
317,a,Undirected,6949
318,a,Undirected,17658
319,a,Undirected,19486
320,a,Undirected,9451
321,a,Undirected,5
322,a,Undirected,7
323,a,Undirected,0
324,a,Undirected,324
325,a,Undirected,2
326,a,Undirected,2
327,a,Undirected,1
328,a,Undirected,1334
329,a,Undirected,2
330,a,Undirected,1198
331,a,Undirected,0
332,a,Undirected,8230
333,a,Undirected,6968
334,a,Undirected,144
335,a,Undirected,2193
336,a,Undirected,20260
337,a,Undirected,185
338,a,Undirected,0
339,a,Undirected,224
340,a,Undirected,30
341,a,Undirected,9381
342,a,Undirected,5981
343,a,Undirected,12948
344,a,Undirected,9683
345,a,Undirected,26302
346,a,Undirected,40855
347,a,Undirected,14884
348,a,Undirected,21945
349,a,Undirected,11179
350,a,Undirected,10879
351,a,Undirected,13163
352,a,Undirected,9257
353,a,Undirected,8230
354,a,Undirected,11039
355,a,Undirected,11764
356,a,Undirected,9946
357,a,Undirected,17682
358,a,Undirected,26490
359,a,Undirected,20456
360,a,Undirected,17012
361,a,Undirected,11384
362,a,Undirected,8871
363,a,Undirected,11431
364,a,Undirected,15676
365,a,Undirected,20866
366,a,Undirected,25362
367,a,Undirected,18135
368,a,Undirected,18815
369,a,Undirected,12337
370,a,Undirected,13370
371,a,Undirected,10043
372,a,Undirected,8410
373,a,Undirected,13580
374,a,Undirected,10529
375,a,Undirected,14802
376,a,Undirected,28914
377,a,Undirected,23281
378,a,Undirected,23918
379,a,Undirected,17775
380,a,Undirected,7809
381,a,Undirected,8175
382,a,Undirected,10581
383,a,Undirected,8717
384,a,Undirected,24560
385,a,Undirected,12019
386,a,Undirected,19095
387,a,Undirected,30857
388,a,Undirected,19684
389,a,Undirected,33949
390,a,Undirected,10492
391,a,Undirected,16844
392,a,Undirected,10162
393,a,Undirected,17647
394,a,Undirected,8082
395,a,Undirected,7388
396,a,Undirected,10533
397,a,Undirected,10707
398,a,Undirected,13446
399,a,Undirected,15301
400,a,Undirected,37722
401,a,Undirected,23679
402,a,Undirected,22178
403,a,Undirected,7832
404,a,Undirected,12616
405,a,Undirected,17362
406,a,Undirected,7699
407,a,Undirected,7652
408,a,Undirected,11658
409,a,Undirected,14126
410,a,Undirected,11746
411,a,Undirected,22113
412,a,Undirected,16012
413,a,Undirected,13135
414,a,Undirected,62820
415,a,Undirected,23583
416,a,Undirected,11242
417,a,Undirected,13235
418,a,Undirected,14372
419,a,Undirected,12320
420,a,Undirected,16709
421,a,Undirected,23932
422,a,Undirected,6142
423,a,Undirected,6798
424,a,Undirected,8872
425,a,Undirected,6982
426,a,Undirected,27563
427,a,Undirected,16052
428,a,Undirected,8549
429,a,Undirected,11027
430,a,Undirected,11595
431,a,Undirected,38629
432,a,Undirected,12056
433,a,Undirected,13641
434,a,Undirected,6216
435,a,Undirected,7896
436,a,Undirected,5659
437,a,Undirected,6930
438,a,Undirected,7344
439,a,Undirected,9248
440,a,Undirected,30679
441,b,Undirected,0
442,b,Undirected,0
443,b,Undirected,351
444,b,Undirected,2
445,b,Undirected,194
446,b,Undirected,126
447,b,Undirected,0
448,b,Undirected,26
449,b,Undirected,13489
450,b,Undirected,2
451,b,Undirected,2
452,b,Undirected,0
453,b,Undirected,3
454,b,Undirected,2
455,b,Undirected,1
456,b,Undirected,17
457,b,Undirected,0
458,b,Undirected,77
459,b,Undirected,0
460,b,Undirected,34
461,b,Undirected,8332
462,b,Undirected,14664
