Source,Target,Type,Weight
282,a,Undirected,0
283,a,Undirected,0
284,a,Undirected,2
285,a,Undirected,41
286,a,Undirected,26
287,a,Undirected,0
288,a,Undirected,14
289,a,Undirected,148
290,a,Undirected,27
291,a,Undirected,5
292,a,Undirected,76
293,a,Undirected,0
294,a,Undirected,603
295,a,Undirected,1
296,a,Undirected,11
297,a,Undirected,0
298,a,Undirected,0
299,a,Undirected,1
300,a,Undirected,7
301,a,Undirected,689
302,a,Undirected,1202
303,a,Undirected,662
304,a,Undirected,312
305,a,Undirected,205
306,a,Undirected,438
307,a,Undirected,304
308,a,Undirected,263
309,a,Undirected,1672
310,a,Undirected,633
311,a,Undirected,961
312,a,Undirected,1174
313,a,Undirected,404
314,a,Undirected,515
315,a,Undirected,304
316,a,Undirected,255
317,a,Undirected,208
318,a,Undirected,571
319,a,Undirected,801
320,a,Undirected,289
321,a,Undirected,0
322,a,Undirected,0
323,a,Undirected,1
324,a,Undirected,2
325,a,Undirected,1
326,a,Undirected,0
327,a,Undirected,0
328,a,Undirected,68
329,a,Undirected,0
330,a,Undirected,1
331,a,Undirected,1
332,a,Undirected,18
333,a,Undirected,2
334,a,Undirected,9
335,a,Undirected,22
336,a,Undirected,679
337,a,Undirected,24
338,a,Undirected,0
339,a,Undirected,16
340,a,Undirected,0
341,a,Undirected,335
342,a,Undirected,156
343,a,Undirected,614
344,a,Undirected,432
345,a,Undirected,1158
346,a,Undirected,1970
347,a,Undirected,622
348,a,Undirected,1021
349,a,Undirected,329
350,a,Undirected,303
351,a,Undirected,434
352,a,Undirected,576
353,a,Undirected,262
354,a,Undirected,513
355,a,Undirected,798
356,a,Undirected,329
357,a,Undirected,374
358,a,Undirected,2338
359,a,Undirected,1205
360,a,Undirected,847
361,a,Undirected,324
362,a,Undirected,263
363,a,Undirected,731
364,a,Undirected,729
365,a,Undirected,688
366,a,Undirected,1928
367,a,Undirected,970
368,a,Undirected,990
369,a,Undirected,649
370,a,Undirected,833
371,a,Undirected,443
372,a,Undirected,301
373,a,Undirected,723
374,a,Undirected,616
375,a,Undirected,1026
376,a,Undirected,1197
377,a,Undirected,811
378,a,Undirected,1200
379,a,Undirected,1001
380,a,Undirected,350
381,a,Undirected,248
382,a,Undirected,306
383,a,Undirected,256
384,a,Undirected,1233
385,a,Undirected,703
386,a,Undirected,800
387,a,Undirected,2162
388,a,Undirected,1161
389,a,Undirected,2455
390,a,Undirected,544
391,a,Undirected,1295
392,a,Undirected,416
393,a,Undirected,994
394,a,Undirected,294
395,a,Undirected,278
396,a,Undirected,304
397,a,Undirected,257
398,a,Undirected,857
399,a,Undirected,813
400,a,Undirected,3045
401,a,Undirected,876
402,a,Undirected,1283
403,a,Undirected,233
404,a,Undirected,401
405,a,Undirected,626
406,a,Undirected,234
407,a,Undirected,279
408,a,Undirected,326
409,a,Undirected,439
410,a,Undirected,325
411,a,Undirected,721
412,a,Undirected,474
413,a,Undirected,724
414,a,Undirected,2186
415,a,Undirected,1570
416,a,Undirected,487
417,a,Undirected,644
418,a,Undirected,444
419,a,Undirected,706
420,a,Undirected,852
421,a,Undirected,1026
422,a,Undirected,209
423,a,Undirected,200
424,a,Undirected,197
425,a,Undirected,181
426,a,Undirected,2503
427,a,Undirected,893
428,a,Undirected,375
429,a,Undirected,506
430,a,Undirected,588
431,a,Undirected,1676
432,a,Undirected,633
433,a,Undirected,481
434,a,Undirected,202
435,a,Undirected,175
436,a,Undirected,174
437,a,Undirected,204
438,a,Undirected,177
439,a,Undirected,284
440,a,Undirected,1862
441,b,Undirected,0
442,b,Undirected,0
443,b,Undirected,0
444,b,Undirected,0
445,b,Undirected,5
446,b,Undirected,6
447,b,Undirected,0
448,b,Undirected,0
449,b,Undirected,10
450,b,Undirected,1
451,b,Undirected,0
452,b,Undirected,0
453,b,Undirected,0
454,b,Undirected,0
455,b,Undirected,0
456,b,Undirected,3
457,b,Undirected,1
458,b,Undirected,1
459,b,Undirected,0
460,b,Undirected,1
461,b,Undirected,494
462,b,Undirected,594
463,b,Undirected,239
464,b,Undirected,810
465,b,Undirected,407
466,b,Undirected,287
467,b,Undirected,161
468,b,Undirected,818
469,b,Undirected,486
470,b,Undirected,618
471,b,Undirected,383
472,b,Undirected,654
473,b,Undirected,915
474,b,Undirected,2068
475,b,Undirected,671
476,b,Undirected,323
477,b,Undirected,2744
478,b,Undirected,554
479,b,Undirected,289
480,b,Undirected,399
481,b,Undirected,399
482,b,Undirected,638
483,b,Undirected,701
484,b,Undirected,317
485,b,Undirected,666
486,b,Undirected,293
487,b,Undirected,431
488,b,Undirected,246
489,b,Undirected,345
490,b,Undirected,134
491,b,Undirected,183
492,b,Undirected,136
493,b,Undirected,518
494,b,Undirected,130
495,b,Undirected,332
496,b,Undirected,2219
497,b,Undirected,400
498,b,Undirected,265
499,b,Undirected,122
500,b,Undirected,251
501,b,Undirected,351
502,b,Undirected,452
503,b,Undirected,855
504,b,Undirected,617
505,b,Undirected,301
506,b,Undirected,228
507,b,Undirected,232
508,b,Undirected,286
509,b,Undirected,559
510,b,Undirected,357
511,b,Undirected,177
512,b,Undirected,125
513,b,Undirected,793
514,b,Undirected,273
515,b,Undirected,328
516,b,Undirected,758
517,b,Undirected,358
518,b,Undirected,224
519,b,Undirected,274
520,b,Undirected,757
521,b,Undirected,243
522,b,Undirected,1464
523,b,Undirected,843
524,b,Undirected,466
525,b,Undirected,988
526,b,Undirected,323
527,b,Undirected,787
528,b,Undirected,323
529,b,Undirected,1097
530,b,Undirected,1171
531,b,Undirected,710
532,b,Undirected,516
533,b,Undirected,276
534,b,Undirected,1214
535,b,Undirected,302
536,b,Undirected,303
537,b,Undirected,2008
538,b,Undirected,902
539,b,Undirected,270
540,b,Undirected,489
541,b,Undirected,339
542,b,Undirected,212
543,b,Undirected,877
544,b,Undirected,929
545,b,Undirected,899
546,b,Undirected,593
547,b,Undirected,913
548,b,Undirected,921
549,b,Undirected,1146
550,b,Undirected,345
551,b,Undirected,997
552,b,Undirected,588
553,b,Undirected,426
554,b,Undirected,387
555,b,Undirected,741
556,b,Undirected,1395
557,b,Undirected,2376
558,b,Undirected,6635
559,b,Undirected,2995
560,b,Undirected,12421
561,b,Undirected,1422
562,b,Undirected,2414
563,b,Undirected,1670
564,b,Undirected,610
565,b,Undirected,292
566,b,Undirected,699
567,b,Undirected,403
568,b,Undirected,971
569,b,Undirected,250
570,b,Undirected,380
571,b,Undirected,396
572,b,Undirected,2545
573,b,Undirected,278
574,b,Undirected,350
575,b,Undirected,141
576,b,Undirected,1058
577,b,Undirected,713
578,b,Undirected,516
579,b,Undirected,677
580,b,Undirected,2973
581,b,Undirected,556
582,b,Undirected,2589
583,b,Undirected,423
584,b,Undirected,678
585,b,Undirected,963
586,b,Undirected,2849
587,b,Undirected,628
588,b,Undirected,602
589,b,Undirected,931
590,b,Undirected,352
591,b,Undirected,376
592,b,Undirected,239
593,b,Undirected,491
594,b,Undirected,550
595,b,Undirected,938
596,b,Undirected,429
597,b,Undirected,471
598,b,Undirected,2743
599,b,Undirected,763
600,b,Undirected,209
601,b,Undirected,275
602,b,Undirected,1219
603,b,Undirected,303
604,b,Undirected,274
605,b,Undirected,228
606,b,Undirected,245
607,b,Undirected,338
608,b,Undirected,544
609,b,Undirected,566
610,b,Undirected,398
611,b,Undirected,241
612,b,Undirected,348
613,b,Undirected,158
614,b,Undirected,228
615,b,Undirected,1221
616,b,Undirected,356
617,b,Undirected,134
618,b,Undirected,84
619,b,Undirected,281
620,b,Undirected,493
621,b,Undirected,124
622,b,Undirected,1417
623,b,Undirected,653
624,b,Undirected,151
625,b,Undirected,794
626,b,Undirected,1613
627,b,Undirected,717
628,b,Undirected,329
629,b,Undirected,563
630,b,Undirected,2125
631,b,Undirected,282
632,b,Undirected,149
633,b,Undirected,796
634,b,Undirected,142
635,b,Undirected,185
636,b,Undirected,125
637,b,Undirected,133
638,b,Undirected,147
639,b,Undirected,172
640,b,Undirected,177
641,b,Undirected,94
642,b,Undirected,203
643,b,Undirected,173
644,b,Undirected,143
645,b,Undirected,249
646,b,Undirected,78
647,b,Undirected,144
648,b,Undirected,272
649,b,Undirected,175
650,b,Undirected,551
651,b,Undirected,285
652,b,Undirected,248
653,b,Undirected,394
654,b,Undirected,86
655,b,Undirected,112
656,b,Undirected,105
657,b,Undirected,208
658,b,Undirected,514
659,b,Undirected,104
660,b,Undirected,229
661,b,Undirected,206
662,b,Undirected,127
663,b,Undirected,156
664,b,Undirected,386
665,b,Undirected,538
666,b,Undirected,299
667,b,Undirected,810
668,b,Undirected,370
669,b,Undirected,809
670,b,Undirected,285
671,b,Undirected,627
672,b,Undirected,597
673,b,Undirected,1592
674,b,Undirected,661
675,b,Undirected,183
676,b,Undirected,639
677,b,Undirected,356
678,b,Undirected,154
679,b,Undirected,377
680,b,Undirected,448
681,b,Undirected,370
682,b,Undirected,1646
683,b,Undirected,368
684,b,Undirected,133
685,b,Undirected,85
686,b,Undirected,277
687,b,Undirected,269
688,b,Undirected,328
689,b,Undirected,155
690,b,Undirected,168
691,b,Undirected,172
